system_cod,location_c,location_n,BEDS,Managed_by,location_t,Location_1,Grades_tex,Grades_fin,open_date,Status_des,Primary_bu,primary_ad,X_COORDINA,Y_COORDINA,LONGITUDE,LATITUDE,Community_,Council-di,Census_tra,Borough_bl,NTA,NTA_Name,Geographic,Administra,Administ_1,communit_1,LOC_CODE
24Q264,Q264,Academy of Finance and Enterprise,342400011264,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2005/07/01 00:00:00.000,Open,Q735,30-20 THOMSON AVENUE,"1001706","210406",-73.937004000000002,40.744174999999998,"402","26","17900","4002740001",QN31,Hunters Point-Sunnyside-West Maspeth,"24","24",NULL,NULL,Q264
29Q265,Q265,Excelsior Preparatory High School,342900011265,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2004/09/08 00:00:00.000,Open,Q420,143-10 SPRINGFIELD BOULEVARD,"1051454","183115",-73.757744000000002,40.669029999999999,"412","31","33000","4130570056",QN02,Springfield Gardens North,"29","29",NULL,NULL,Q265
26Q266,Q266,P.S./I.S. 266,342600010266,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",2003/07/01 00:00:00.000,Open,Q266,74-10 COMMONWEALTH BOULEVARD,"1059503","211228",-73.728414999999998,40.746127999999999,"413","23","156700","4078700074",QN43,Bellerose,"26","26",COMMUNITY SCHOOL DISTRICT 26,"GIUNTA, DANIELLE",Q266
24Q267,Q267,High School of Applied Communication,342400011267,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2005/07/01 00:00:00.000,Open,Q735,30-20 THOMSON AVENUE,"1001706","210406",-73.937004000000002,40.744174999999998,"402","26","17900","4002740001",QN31,Hunters Point-Sunnyside-West Maspeth,"24","24",NULL,NULL,Q267
29Q268,Q268,P.S./I.S. 268,342900010268,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",2003/07/01 00:00:00.000,Open,Q268,92-07 175 STREET,"1043800","197165",-73.785210000000006,40.707647999999999,"412","27","44400","4102150001",QN61,Jamaica,"29","29",COMMUNITY SCHOOL DISTRICT 29,"MITCHELL, BEVERLY",Q268
29Q270,Q270,The Gordon Parks School,342900010270,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",2003/07/01 00:00:00.000,Open,Q270,233-15 MERRICK BOULEVARD,"1057415","185333",-73.736232000000001,40.675069999999998,"413","31","61800","4129730001",QN66,Laurelton,"29","29",COMMUNITY SCHOOL DISTRICT 29,"MITCHELL, BEVERLY",Q270
29Q272,Q272,George Washington Carver High School for the Scien,342900011272,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2004/09/08 00:00:00.000,Open,Q420,143-10 SPRINGFIELD BOULEVARD,"1051454","183115",-73.757744000000002,40.669029999999999,"412","31","33000","4130570056",QN02,Springfield Gardens North,"29","29",NULL,NULL,Q272
27Q273,Q273,P.S. 273,342700010273,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",2010/07/01 00:00:00.000,Open,Q273,88-07 102ND STREET,"1027417","192017",-73.844335000000001,40.693612999999999,"409","32","2800","4092880101",QN54,Richmond Hill,"27","27",COMMUNITY SCHOOL DISTRICT 27,"AMBERT, JENNIFER",Q273
29Q274,Q274,Langston Hughes High School For Communication Arts,342900010274,DOE,General Academic,High school,NULL,"09,10,11,12",1901/01/01 00:00:00.000,Closed,Q420,143-10 SPRINGFIELD BOULEVARD,"1051698","182796",-73.756900000000002,40.668199999999999,"412","31","33000","4130570056",QN02,Springfield Gardens North,"29","29",COMMUNITY SCHOOL DISTRICT 29,Lenon Murray,Q274
75Q277,Q277,The Riverview School,307500014277,DOE,Special Education,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",2013/07/01 00:00:00.000,Open,Q777,50-15 44TH STREET,"1006047","207679",-73.921346000000000,40.736680000000000,"402","26","18700","4022940026",QN31,Hunters Point-Sunnyside-West Maspeth,"24","75",CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",Q277
30Q280,Q280,P.S. 280,343000010280,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",2010/07/01 00:00:00.000,Open,Q280,34-20 94TH STREET,"1019129","213766",-73.874109000000004,40.753345000000003,"403","25","27300","4014540018",QN28,Jackson Heights,"30","30",COMMUNITY SCHOOL DISTRICT 30,"COMPOSTO, PHILIP",Q280
