"BUILDING 
CODE",SCHOOL NAME,TYPE,Borough,NUMBER,boro_code,ADDRESS,BOROUGH,STATE,ZIP
K126,"John Ericsson Middle 
School 126",MS,K,126,K126,424 LEONARD STREET,BROOKLYN,NY,11222
X127,The Castle Hill,MS/HS,X,127,X127,1560 PURDY STREET,BRONX,NY,10462
K127,Mckinley Park,PS,K,127,K127,7805 7 AVENUE,BROOKLYN,NY,11228
Q127,"The Aerospace and 
Science Academy",PS,Q,127,Q127,98-01 25 AVENUE,QUEENS,NY,11369
X130,Abram Stevens Hewitt,PS,X,130,X130,750 PROSPECT AVENUE,BRONX,NY,10455
K130,The Parkside,PS,K,130,K130,70 OCEAN PARKWAY,BROOKLYN,NY,11218
Q130,,PS,Q,130,Q130,200-01 42 AVENUE,QUEENS,NY,11361
M131,,MS,M,131,M131,100 HESTER STREET,MANHATTAN,NY,10002
X132,Garret A. Morgan,PS,X,132,X132,1245 WASHINGTON AVENUE,BRONX,NY,10456
K132,The Conselyea School,PS,K,132,K132,320 MANHATTAN AVENUE,BROOKLYN,NY,11211
,,,Q,132,Q132,132-15 218 Street,Queens,NY,11413
M133,Fred R Moore,PS,M,133,M133,2121 5 AVENUE,MANHATTAN,NY,10037
K317,William A. Butler,PS,K,133,K133,610 BALTIC STREET,BROOKLYN,NY,11217
K135,Sheldon A. Brookner,PS,K,135,K135,684 LINDEN BOULEVARD,BROOKLYN,NY,11203
Q135,The Bellaire School,PS,Q,135,Q135,207-11 89 AVENUE,QUEENS,NY,11427
K136,Charles O. Dewey,MS,K,136,K136,4004 4 AVENUE,BROOKLYN,NY,11232
K137,Rachel Jean Mitchell,PS/IS,K,137,K137,121 SARATOGA AVENUE,BROOKLYN,NY,11233
Q137,"America's School of 
Heroes",MS,Q,137,Q137,109-15 98 STREET,QUEENS,NY,11417
M030,,PS,M,138,M138,144-176 EAST 128 STREET,MANHATTAN,NY,10035
K139,Alexine A. Fenty,PS,K,139,K139,330 RUGBY ROAD,BROOKLYN,NY,11226
K258,140@258,PS,K,140,K140,141 MACON STREET,BROOKLYN,NY,11216
Q141,The Steinway,IS,Q,141,Q141,37-11 21 AVENUE,QUEENS,NY,11105
K002,,PS,K,141,K141,655 PARKSIDE AVENUE,BROOKLYN,NY,11226
17K002,@ MS 002,P (District 75),K,141,K141,655 Parkside Avenue,Brooklyn,NY,11226
,P141@MS35,P (District 75),K,141,K141,272 MacDonough St,Brooklyn,NY,11233
M142,Amalia Castro,PS,M,142,M142,100 ATTORNEY STREET,MANHATTAN,NY,10002
Q143,Louis Armstrong,PS,Q,143,Q143,34-74 113 STREET,QUEENS,NY,11368
M145,The Bloomingdale School,PS,M,145,M145,150 WEST 105 STREET,MANHATTAN,NY,10025
X145,Arturo Toscanini,MS,X,145,X145,1000 TELLER AVENUE,BRONX,NY,10456
K145,Andrew Jackson,PS,K,145,K145,100 NOLL STREET,BROOKLYN,NY,11206
K145,Andrew Jackson,PS,K,145,K145,100 NOLL STREET,BROOKLYN,NY,11206
Q145,Joseph Pulitzer,IS,Q,145,Q145,33-34 80 STREET,QUEENS,NY,11372
